sgRNA	Gene	T0_1	T0_2	Tend_1	Tend_2
0Safe_safe_ACOC_204550.4525__EZH2_2	0Safe_safe_ACOC__EZH2	131	138	242	251
0Safe_safe_ACOC_204550.4525__EZH2_3	0Safe_safe_ACOC__EZH2	147	146	270	283
0Safe_safe_ACOC_204550.4525__EZH2_4	0Safe_safe_ACOC__EZH2	93	87	191	211
0Safe_safe_ACOC_204550.4525__HSP90B1_1	0Safe_safe_ACOC__HSP90B1	153	153	213	283
0Safe_safe_ACOC_204550.4525__HSP90B1_2	0Safe_safe_ACOC__HSP90B1	165	184	229	258
0Safe_safe_ACOC_204550.4525__HSP90B1_3	0Safe_safe_ACOC__HSP90B1	72	85	137	190
0Safe_safe_ACOC_204550.4525__HSP90B1_4	0Safe_safe_ACOC__HSP90B1	50	39	69	97
0Safe_safe_ACOC_204550.4525__IGF1R_1	0Safe_safe_ACOC__IGF1R	115	105	150	160
0Safe_safe_ACOC_204550.4525__IGF1R_2	0Safe_safe_ACOC__IGF1R	150	142	207	301
0Safe_safe_ACOC_204550.4525__IGF1R_3	0Safe_safe_ACOC__IGF1R	325	383	418	498
0Safe_safe_ACOC_204550.4525__IGF1R_4	0Safe_safe_ACOC__IGF1R	56	58	58	64
0Safe_safe_ACOC_204550.4525__MAPK13_1	0Safe_safe_ACOC__MAPK13	367	374	587	708
0Safe_safe_ACOC_204550.4525__MAPK13_2	0Safe_safe_ACOC__MAPK13	131	137	217	253
0Safe_safe_ACOC_204550.4525__MAPK13_3	0Safe_safe_ACOC__MAPK13	182	209	364	420
0Safe_safe_ACOC_204550.4525__MAPK13_4	0Safe_safe_ACOC__MAPK13	94	107	136	180
0Safe_safe_ACOC_204550.4525__TRIB2_1	0Safe_safe_ACOC__TRIB2	116	121	231	271
0Safe_safe_ACOC_204550.4525__TRIB2_2	0Safe_safe_ACOC__TRIB2	99	88	176	141
0Safe_safe_ACOC_204550.4525__TRIB2_3	0Safe_safe_ACOC__TRIB2	191	204	334	415
0Safe_safe_ACOC_204550.4525__TRIB2_4	0Safe_safe_ACOC__TRIB2	143	123	180	282
0Safe_safe_ACOC_204550.4525__ULK1_1	0Safe_safe_ACOC__ULK1	60	58	96	109
0Safe_safe_ACOC_204550.4525__ULK1_2	0Safe_safe_ACOC__ULK1	75	98	135	198
0Safe_safe_ACOC_204550.4525__ULK1_3	0Safe_safe_ACOC__ULK1	80	80	160	151
0Safe_safe_ACOC_204550.4525__ULK1_4	0Safe_safe_ACOC__ULK1	138	157	247	298
