sgRNA	Gene	T0_1	T0_2	Tend_1	Tend_2
CDK2_1__CTNNB1_4	CDK2__CTNNB1	99	88	87	123
CDK2_1__ETF1_1	CDK2__ETF1	58	61	28	20
CDK2_1__ETF1_2	CDK2__ETF1	114	94	50	68
CDK2_1__ETF1_3	CDK2__ETF1	34	32	24	39
CDK2_1__ETF1_4	CDK2__ETF1	76	82	86	102
CDK2_1__EZH2_1	CDK2__EZH2	68	71	68	55
CDK2_1__EZH2_2	CDK2__EZH2	105	115	93	109
CDK2_1__EZH2_3	CDK2__EZH2	98	116	91	111
CDK2_1__EZH2_4	CDK2__EZH2	70	73	68	101
CDK2_1__HSP90B1_1	CDK2__HSP90B1	110	118	87	117
CDK2_1__HSP90B1_2	CDK2__HSP90B1	105	152	111	122
CDK2_1__HSP90B1_3	CDK2__HSP90B1	75	63	54	55
CDK2_1__HSP90B1_4	CDK2__HSP90B1	36	42	29	38
CDK2_1__IGF1R_1	CDK2__IGF1R	106	98	75	70
CDK2_1__IGF1R_2	CDK2__IGF1R	107	103	83	94
CDK2_1__IGF1R_3	CDK2__IGF1R	262	291	219	244
CDK2_1__IGF1R_4	CDK2__IGF1R	46	33	21	34
CDK2_1__MAPK13_1	CDK2__MAPK13	313	321	292	353
CDK2_1__MAPK13_2	CDK2__MAPK13	109	94	74	93
CDK2_1__MAPK13_3	CDK2__MAPK13	177	176	175	185
CDK2_1__MAPK13_4	CDK2__MAPK13	60	73	74	82
CDK2_1__TRIB2_1	CDK2__TRIB2	93	75	76	103
CDK2_1__TRIB2_2	CDK2__TRIB2	77	59	63	68
CDK2_1__TRIB2_3	CDK2__TRIB2	146	157	132	203
CDK2_1__TRIB2_4	CDK2__TRIB2	88	104	83	110
CDK2_1__ULK1_1	CDK2__ULK1	52	51	54	56
CDK2_1__ULK1_2	CDK2__ULK1	85	80	69	91
CDK2_1__ULK1_3	CDK2__ULK1	74	78	58	75
CDK2_1__ULK1_4	CDK2__ULK1	141	158	104	137
CDK2_1__WNT5A_1	CDK2__WNT5A	143	141	123	144
CDK2_1__WNT5A_2	CDK2__WNT5A	144	160	147	167
CDK2_1__WNT5A_3	CDK2__WNT5A	91	96	83	108
CDK2_1__WNT5A_4	CDK2__WNT5A	114	100	109	143
CDK2_2__0Safe_safe_ACOC_204550.4522	0Safe_safe_ACOC__CDK2	14	21	16	25
CDK2_2__0Safe_safe_ACOC_204550.4525	0Safe_safe_ACOC__CDK2	49	50	53	53
CDK2_2__0Safe_safe_ACOC_204550.4590	0Safe_safe_ACOC__CDK2	59	70	73	77
CDK2_2__0Safe_safe_GE_204550.1561	0Safe_safe_GE__CDK2	30	31	29	32
CDK2_2__0Safe_safe_GE_204550.1743	0Safe_safe_GE__CDK2	39	39	32	34
CDK2_2__0Safe_safe_GE_204550.1816	0Safe_safe_GE__CDK2	21	13	21	17
CDK2_2__0Safe_safe_MP_204550.1197	0Safe_safe_MP__CDK2	8	19	16	22
CDK2_2__0Safe_safe_MP_204550.1296	0Safe_safe_MP__CDK2	17	14	20	26
CDK2_2__0Safe_safe_MP_204550.1323	0Safe_safe_MP__CDK2	53	45	65	74
CDK2_2__0Safe_safe_U3_204550.6027	0Safe_safe_U3__CDK2	8	10	13	19
CDK2_2__CDK2_1	CDK2__CDK2	61	71	51	72
CDK2_2__CDK2_2	CDK2__CDK2	47	39	28	39
CDK2_2__CDK2_3	CDK2__CDK2	34	37	36	38
CDK2_2__CDK2_4	CDK2__CDK2	76	69	75	91
CDK2_2__CTNNB1_1	CDK2__CTNNB1	22	23	36	29
CDK2_2__CTNNB1_2	CDK2__CTNNB1	32	27	30	49
CDK2_2__CTNNB1_3	CDK2__CTNNB1	25	29	31	52
CDK2_2__CTNNB1_4	CDK2__CTNNB1	37	55	62	66
CDK2_2__ETF1_1	CDK2__ETF1	45	39	19	19
CDK2_2__ETF1_2	CDK2__ETF1	50	46	21	34
CDK2_2__ETF1_3	CDK2__ETF1	9	17	11	18
CDK2_2__ETF1_4	CDK2__ETF1	27	34	45	37
CDK2_2__EZH2_1	CDK2__EZH2	33	37	36	55
CDK2_2__EZH2_2	CDK2__EZH2	59	53	65	87
CDK2_2__EZH2_3	CDK2__EZH2	50	58	66	78
CDK2_2__EZH2_4	CDK2__EZH2	39	34	44	46
CDK2_2__HSP90B1_1	CDK2__HSP90B1	56	60	55	76
CDK2_2__HSP90B1_2	CDK2__HSP90B1	72	58	53	64
CDK2_2__HSP90B1_3	CDK2__HSP90B1	29	31	20	37
CDK2_2__HSP90B1_4	CDK2__HSP90B1	18	13	19	20
CDK2_2__IGF1R_1	CDK2__IGF1R	50	45	26	53
CDK2_2__IGF1R_2	CDK2__IGF1R	48	44	59	65
CDK2_2__IGF1R_3	CDK2__IGF1R	114	134	101	122
CDK2_2__IGF1R_4	CDK2__IGF1R	23	23	20	12
CDK2_2__MAPK13_1	CDK2__MAPK13	131	156	150	193
CDK2_2__MAPK13_2	CDK2__MAPK13	43	37	46	35
CDK2_2__MAPK13_3	CDK2__MAPK13	71	65	75	101
CDK2_2__MAPK13_4	CDK2__MAPK13	39	34	40	59
CDK2_2__TRIB2_1	CDK2__TRIB2	23	50	50	55
CDK2_2__TRIB2_2	CDK2__TRIB2	26	32	33	46
CDK2_2__TRIB2_3	CDK2__TRIB2	48	54	72	90
CDK2_2__TRIB2_4	CDK2__TRIB2	38	61	59	72
CDK2_2__ULK1_1	CDK2__ULK1	29	14	20	33
CDK2_2__ULK1_2	CDK2__ULK1	42	40	30	38
CDK2_2__ULK1_3	CDK2__ULK1	30	28	26	20
CDK2_2__ULK1_4	CDK2__ULK1	59	61	74	89
CDK2_2__WNT5A_1	CDK2__WNT5A	72	65	59	77
CDK2_2__WNT5A_2	CDK2__WNT5A	53	63	57	70
CDK2_2__WNT5A_3	CDK2__WNT5A	66	35	36	68
CDK2_2__WNT5A_4	CDK2__WNT5A	57	52	56	81
CDK2_3__0Safe_safe_ACOC_204550.4522	0Safe_safe_ACOC__CDK2	22	32	41	32
CDK2_3__0Safe_safe_ACOC_204550.4525	0Safe_safe_ACOC__CDK2	71	86	109	99
CDK2_3__0Safe_safe_ACOC_204550.4590	0Safe_safe_ACOC__CDK2	80	62	90	115
CDK2_3__0Safe_safe_GE_204550.1561	0Safe_safe_GE__CDK2	52	53	73	74
CDK2_3__0Safe_safe_GE_204550.1743	0Safe_safe_GE__CDK2	35	39	44	55
CDK2_3__0Safe_safe_GE_204550.1816	0Safe_safe_GE__CDK2	20	14	26	19
CDK2_3__0Safe_safe_MP_204550.1197	0Safe_safe_MP__CDK2	29	36	39	56
CDK2_3__0Safe_safe_MP_204550.1296	0Safe_safe_MP__CDK2	25	15	22	31
CDK2_3__0Safe_safe_MP_204550.1323	0Safe_safe_MP__CDK2	61	83	116	122
CDK2_3__0Safe_safe_U3_204550.6027	0Safe_safe_U3__CDK2	20	12	20	23
CDK2_3__CDK2_1	CDK2__CDK2	101	85	67	83
CDK2_3__CDK2_2	CDK2__CDK2	67	54	68	72
CDK2_3__CDK2_3	CDK2__CDK2	58	66	71	97
CDK2_3__CDK2_4	CDK2__CDK2	114	114	113	166
CDK2_3__CTNNB1_1	CDK2__CTNNB1	39	33	67	96
CDK2_3__CTNNB1_2	CDK2__CTNNB1	40	31	66	85
CDK2_3__CTNNB1_3	CDK2__CTNNB1	40	50	73	89
CDK2_3__CTNNB1_4	CDK2__CTNNB1	66	64	79	109
CDK2_3__ETF1_1	CDK2__ETF1	47	48	18	37
CDK2_3__ETF1_2	CDK2__ETF1	67	65	47	54
CDK2_3__ETF1_3	CDK2__ETF1	29	19	25	25
CDK2_3__ETF1_4	CDK2__ETF1	54	48	65	92
CDK2_3__EZH2_1	CDK2__EZH2	45	60	71	90
CDK2_3__EZH2_2	CDK2__EZH2	54	56	86	113
CDK2_3__EZH2_3	CDK2__EZH2	88	64	92	132
CDK2_3__EZH2_4	CDK2__EZH2	38	41	71	92
CDK2_3__HSP90B1_1	CDK2__HSP90B1	70	74	75	97
CDK2_3__HSP90B1_2	CDK2__HSP90B1	102	90	84	97
CDK2_3__HSP90B1_3	CDK2__HSP90B1	44	37	46	64
CDK2_3__HSP90B1_4	CDK2__HSP90B1	23	18	32	38
CDK2_3__IGF1R_1	CDK2__IGF1R	54	53	64	64
CDK2_3__IGF1R_2	CDK2__IGF1R	43	67	70	100
CDK2_3__IGF1R_3	CDK2__IGF1R	171	165	153	202
CDK2_3__IGF1R_4	CDK2__IGF1R	31	32	18	34
CDK2_3__MAPK13_1	CDK2__MAPK13	187	195	244	325
CDK2_3__MAPK13_2	CDK2__MAPK13	59	60	78	107
CDK2_3__MAPK13_3	CDK2__MAPK13	109	84	154	160
CDK2_3__MAPK13_4	CDK2__MAPK13	52	29	44	60
CDK2_3__TRIB2_1	CDK2__TRIB2	51	53	66	85
CDK2_3__TRIB2_2	CDK2__TRIB2	45	35	70	73
CDK2_3__TRIB2_3	CDK2__TRIB2	87	88	121	152
CDK2_3__TRIB2_4	CDK2__TRIB2	67	60	86	107
CDK2_3__ULK1_1	CDK2__ULK1	20	31	42	42
CDK2_3__ULK1_2	CDK2__ULK1	46	50	56	91
CDK2_3__ULK1_3	CDK2__ULK1	35	32	39	43
CDK2_3__ULK1_4	CDK2__ULK1	83	93	98	150
CDK2_3__WNT5A_1	CDK2__WNT5A	73	72	109	113
CDK2_3__WNT5A_2	CDK2__WNT5A	86	72	127	147
CDK2_3__WNT5A_3	CDK2__WNT5A	57	40	55	84
CDK2_3__WNT5A_4	CDK2__WNT5A	64	68	88	146
CDK2_4__0Safe_safe_ACOC_204550.4522	0Safe_safe_ACOC__CDK2	24	35	29	35
CDK2_4__0Safe_safe_ACOC_204550.4525	0Safe_safe_ACOC__CDK2	59	76	73	87
CDK2_4__0Safe_safe_ACOC_204550.4590	0Safe_safe_ACOC__CDK2	127	122	130	141
CDK2_4__0Safe_safe_GE_204550.1561	0Safe_safe_GE__CDK2	45	51	52	64
CDK2_4__0Safe_safe_GE_204550.1743	0Safe_safe_GE__CDK2	34	29	41	40
CDK2_4__0Safe_safe_GE_204550.1816	0Safe_safe_GE__CDK2	15	19	38	25
CDK2_4__0Safe_safe_MP_204550.1197	0Safe_safe_MP__CDK2	30	26	31	34
CDK2_4__0Safe_safe_MP_204550.1296	0Safe_safe_MP__CDK2	16	26	27	25
CDK2_4__0Safe_safe_MP_204550.1323	0Safe_safe_MP__CDK2	76	73	91	100
CDK2_4__0Safe_safe_U3_204550.6027	0Safe_safe_U3__CDK2	20	8	21	24
CDK2_4__CDK2_1	CDK2__CDK2	111	107	84	95
CDK2_4__CDK2_2	CDK2__CDK2	75	70	75	73
CDK2_4__CDK2_3	CDK2__CDK2	71	63	67	71
CDK2_4__CDK2_4	CDK2__CDK2	121	117	135	147
CDK2_4__CTNNB1_1	CDK2__CTNNB1	35	43	45	62
CDK2_4__CTNNB1_2	CDK2__CTNNB1	27	49	36	71
CDK2_4__CTNNB1_3	CDK2__CTNNB1	35	51	57	57
CDK2_4__CTNNB1_4	CDK2__CTNNB1	85	71	78	74
CDK2_4__ETF1_1	CDK2__ETF1	63	52	28	41
CDK2_4__ETF1_2	CDK2__ETF1	70	73	34	61
CDK2_4__ETF1_3	CDK2__ETF1	26	18	19	27
CDK2_4__ETF1_4	CDK2__ETF1	58	48	77	78
CDK2_4__EZH2_1	CDK2__EZH2	45	42	39	54
CDK2_4__EZH2_2	CDK2__EZH2	82	67	84	100
CDK2_4__EZH2_3	CDK2__EZH2	99	77	91	125
CDK2_4__EZH2_4	CDK2__EZH2	54	30	53	68
CDK2_4__HSP90B1_1	CDK2__HSP90B1	75	86	82	99
CDK2_4__HSP90B1_2	CDK2__HSP90B1	68	90	98	106
CDK2_4__HSP90B1_3	CDK2__HSP90B1	46	32	45	59
CDK2_4__HSP90B1_4	CDK2__HSP90B1	35	32	26	35
CDK2_4__IGF1R_1	CDK2__IGF1R	68	47	66	74
CDK2_4__IGF1R_2	CDK2__IGF1R	71	67	81	71
CDK2_4__IGF1R_3	CDK2__IGF1R	176	163	156	188
CDK2_4__IGF1R_4	CDK2__IGF1R	24	37	27	14
CDK2_4__MAPK13_1	CDK2__MAPK13	197	195	196	348
CDK2_4__MAPK13_2	CDK2__MAPK13	71	71	74	99
CDK2_4__MAPK13_3	CDK2__MAPK13	96	113	115	153
CDK2_4__MAPK13_4	CDK2__MAPK13	40	50	56	64
CDK2_4__TRIB2_1	CDK2__TRIB2	60	48	53	72
CDK2_4__TRIB2_2	CDK2__TRIB2	32	42	55	39
CDK2_4__TRIB2_3	CDK2__TRIB2	83	95	90	139
CDK2_4__TRIB2_4	CDK2__TRIB2	66	57	83	88
CDK2_4__ULK1_1	CDK2__ULK1	35	29	31	49
CDK2_4__ULK1_2	CDK2__ULK1	45	44	42	51
CDK2_4__ULK1_3	CDK2__ULK1	38	35	40	47
CDK2_4__ULK1_4	CDK2__ULK1	81	76	82	108
CDK2_4__WNT5A_1	CDK2__WNT5A	99	85	98	120
CDK2_4__WNT5A_2	CDK2__WNT5A	89	48	94	123
CDK2_4__WNT5A_3	CDK2__WNT5A	62	63	82	78
CDK2_4__WNT5A_4	CDK2__WNT5A	72	47	76	102
CTNNB1_1__0Safe_safe_ACOC_204550.4522	0Safe_safe_ACOC__CTNNB1	35	35	67	63
CTNNB1_1__0Safe_safe_ACOC_204550.4525	0Safe_safe_ACOC__CTNNB1	112	91	167	155
CTNNB1_1__0Safe_safe_ACOC_204550.4590	0Safe_safe_ACOC__CTNNB1	140	117	210	243
CTNNB1_1__0Safe_safe_GE_204550.1561	0Safe_safe_GE__CTNNB1	56	59	99	132
CTNNB1_1__0Safe_safe_GE_204550.1743	0Safe_safe_GE__CTNNB1	65	58	90	111
CTNNB1_1__0Safe_safe_GE_204550.1816	0Safe_safe_GE__CTNNB1	34	31	61	64
CTNNB1_1__0Safe_safe_MP_204550.1197	0Safe_safe_MP__CTNNB1	47	54	95	91
CTNNB1_1__0Safe_safe_MP_204550.1296	0Safe_safe_MP__CTNNB1	39	30	56	76
CTNNB1_1__0Safe_safe_MP_204550.1323	0Safe_safe_MP__CTNNB1	131	116	197	215
CTNNB1_1__0Safe_safe_U3_204550.6027	0Safe_safe_U3__CTNNB1	22	25	42	36
CTNNB1_1__CDK2_1	CDK2__CTNNB1	122	125	146	182
CTNNB1_1__CDK2_2	CDK2__CTNNB1	94	92	128	136
CTNNB1_1__CDK2_3	CDK2__CTNNB1	81	77	126	152
CTNNB1_1__CDK2_4	CDK2__CTNNB1	214	166	267	402
CTNNB1_1__CTNNB1_1	CTNNB1__CTNNB1	53	45	112	103
CTNNB1_1__CTNNB1_2	CTNNB1__CTNNB1	71	46	107	135
CTNNB1_1__CTNNB1_3	CTNNB1__CTNNB1	54	78	147	147
CTNNB1_1__CTNNB1_4	CTNNB1__CTNNB1	123	89	183	230
CTNNB1_1__ETF1_1	CTNNB1__ETF1	65	86	46	66
CTNNB1_1__ETF1_2	CTNNB1__ETF1	81	100	68	88
CTNNB1_1__ETF1_3	CTNNB1__ETF1	43	37	53	68
CTNNB1_1__ETF1_4	CTNNB1__ETF1	84	94	150	218
CTNNB1_1__EZH2_1	CTNNB1__EZH2	73	66	114	119
CTNNB1_1__EZH2_2	CTNNB1__EZH2	109	92	158	202
CTNNB1_1__EZH2_3	CTNNB1__EZH2	122	111	190	261
CTNNB1_1__EZH2_4	CTNNB1__EZH2	66	66	120	162
CTNNB1_1__HSP90B1_1	CTNNB1__HSP90B1	120	90	165	180
CTNNB1_1__HSP90B1_2	CTNNB1__HSP90B1	102	124	128	177
CTNNB1_1__HSP90B1_3	CTNNB1__HSP90B1	61	72	106	118
CTNNB1_1__HSP90B1_4	CTNNB1__HSP90B1	30	28	76	105
CTNNB1_1__IGF1R_1	CTNNB1__IGF1R	113	83	122	146
CTNNB1_1__IGF1R_2	CTNNB1__IGF1R	90	82	150	184
CTNNB1_1__IGF1R_3	CTNNB1__IGF1R	280	254	303	394
CTNNB1_1__IGF1R_4	CTNNB1__IGF1R	33	41	68	73
CTNNB1_1__MAPK13_1	CTNNB1__MAPK13	292	277	493	604
CTNNB1_1__MAPK13_2	CTNNB1__MAPK13	85	105	154	173
CTNNB1_1__MAPK13_3	CTNNB1__MAPK13	146	164	295	347
CTNNB1_1__MAPK13_4	CTNNB1__MAPK13	57	59	98	159
CTNNB1_1__TRIB2_1	CTNNB1__TRIB2	73	69	150	180
CTNNB1_1__TRIB2_2	CTNNB1__TRIB2	49	62	103	111
CTNNB1_1__TRIB2_3	CTNNB1__TRIB2	152	150	264	309
CTNNB1_1__TRIB2_4	CTNNB1__TRIB2	90	90	151	167
CTNNB1_1__ULK1_1	CTNNB1__ULK1	58	43	71	79
CTNNB1_1__ULK1_2	CTNNB1__ULK1	75	69	100	147
CTNNB1_1__ULK1_3	CTNNB1__ULK1	65	62	93	119
CTNNB1_1__ULK1_4	CTNNB1__ULK1	121	121	212	232
CTNNB1_1__WNT5A_1	CTNNB1__WNT5A	155	164	221	282
CTNNB1_1__WNT5A_2	CTNNB1__WNT5A	119	132	233	284
CTNNB1_1__WNT5A_3	CTNNB1__WNT5A	93	90	138	163
CTNNB1_1__WNT5A_4	CTNNB1__WNT5A	94	100	147	210
CTNNB1_2__0Safe_safe_ACOC_204550.4522	0Safe_safe_ACOC__CTNNB1	81	85	159	188
CTNNB1_2__0Safe_safe_ACOC_204550.4525	0Safe_safe_ACOC__CTNNB1	233	226	344	398
CTNNB1_2__0Safe_safe_ACOC_204550.4590	0Safe_safe_ACOC__CTNNB1	349	264	483	569
CTNNB1_2__0Safe_safe_GE_204550.1561	0Safe_safe_GE__CTNNB1	120	144	229	299
CTNNB1_2__0Safe_safe_GE_204550.1743	0Safe_safe_GE__CTNNB1	129	120	207	256
CTNNB1_2__0Safe_safe_GE_204550.1816	0Safe_safe_GE__CTNNB1	81	68	120	149
CTNNB1_2__0Safe_safe_MP_204550.1197	0Safe_safe_MP__CTNNB1	91	92	179	180
CTNNB1_2__0Safe_safe_MP_204550.1296	0Safe_safe_MP__CTNNB1	59	80	137	137
CTNNB1_2__0Safe_safe_MP_204550.1323	0Safe_safe_MP__CTNNB1	250	239	460	481
CTNNB1_2__0Safe_safe_U3_204550.6027	0Safe_safe_U3__CTNNB1	48	34	91	93
CTNNB1_2__CDK2_1	CDK2__CTNNB1	281	288	298	331
CTNNB1_2__CDK2_2	CDK2__CTNNB1	193	228	319	295
CTNNB1_2__CDK2_3	CDK2__CTNNB1	196	205	288	378
CTNNB1_2__CDK2_4	CDK2__CTNNB1	381	384	594	755
CTNNB1_2__CTNNB1_1	CTNNB1__CTNNB1	118	127	249	275
CTNNB1_2__CTNNB1_2	CTNNB1__CTNNB1	128	118	239	291
CTNNB1_2__CTNNB1_3	CTNNB1__CTNNB1	164	172	271	381
CTNNB1_2__CTNNB1_4	CTNNB1__CTNNB1	198	200	413	531
CTNNB1_2__ETF1_1	CTNNB1__ETF1	153	160	78	121
CTNNB1_2__ETF1_2	CTNNB1__ETF1	222	227	188	216
CTNNB1_2__ETF1_3	CTNNB1__ETF1	68	69	138	188
CTNNB1_2__ETF1_4	CTNNB1__ETF1	160	143	259	391
CTNNB1_2__EZH2_1	CTNNB1__EZH2	153	151	241	271
CTNNB1_2__EZH2_2	CTNNB1__EZH2	229	186	413	447
CTNNB1_2__EZH2_3	CTNNB1__EZH2	256	268	420	473
CTNNB1_2__EZH2_4	CTNNB1__EZH2	138	140	280	336
CTNNB1_2__HSP90B1_1	CTNNB1__HSP90B1	270	260	366	473
CTNNB1_2__HSP90B1_2	CTNNB1__HSP90B1	264	302	349	412
CTNNB1_2__HSP90B1_3	CTNNB1__HSP90B1	153	133	230	309
CTNNB1_2__HSP90B1_4	CTNNB1__HSP90B1	85	80	119	142
CTNNB1_2__IGF1R_1	CTNNB1__IGF1R	199	216	264	326
CTNNB1_2__IGF1R_2	CTNNB1__IGF1R	210	184	407	426
CTNNB1_2__IGF1R_3	CTNNB1__IGF1R	626	610	689	940
CTNNB1_2__IGF1R_4	CTNNB1__IGF1R	78	97	121	145
CTNNB1_2__MAPK13_1	CTNNB1__MAPK13	586	640	1071	1278
CTNNB1_2__MAPK13_2	CTNNB1__MAPK13	204	223	332	421
CTNNB1_2__MAPK13_3	CTNNB1__MAPK13	329	330	573	686
CTNNB1_2__MAPK13_4	CTNNB1__MAPK13	146	170	211	299
CTNNB1_2__TRIB2_1	CTNNB1__TRIB2	172	188	324	410
CTNNB1_2__TRIB2_2	CTNNB1__TRIB2	147	131	263	285
CTNNB1_2__TRIB2_3	CTNNB1__TRIB2	284	307	541	736
CTNNB1_2__TRIB2_4	CTNNB1__TRIB2	215	210	357	460
CTNNB1_2__ULK1_1	CTNNB1__ULK1	97	83	198	196
CTNNB1_2__ULK1_2	CTNNB1__ULK1	174	170	229	316
CTNNB1_2__ULK1_3	CTNNB1__ULK1	137	108	200	242
CTNNB1_2__ULK1_4	CTNNB1__ULK1	269	291	491	523
CTNNB1_2__WNT5A_1	CTNNB1__WNT5A	314	299	416	559
CTNNB1_2__WNT5A_2	CTNNB1__WNT5A	304	317	516	602
CTNNB1_2__WNT5A_3	CTNNB1__WNT5A	213	180	313	380
CTNNB1_2__WNT5A_4	CTNNB1__WNT5A	239	248	383	498
CTNNB1_3__0Safe_safe_ACOC_204550.4522	0Safe_safe_ACOC__CTNNB1	36	36	69	64
CTNNB1_3__0Safe_safe_ACOC_204550.4525	0Safe_safe_ACOC__CTNNB1	105	107	206	193
CTNNB1_3__0Safe_safe_ACOC_204550.4590	0Safe_safe_ACOC__CTNNB1	147	126	246	293
CTNNB1_3__0Safe_safe_GE_204550.1561	0Safe_safe_GE__CTNNB1	79	85	130	143
CTNNB1_3__0Safe_safe_GE_204550.1743	0Safe_safe_GE__CTNNB1	54	59	104	131
CTNNB1_3__0Safe_safe_GE_204550.1816	0Safe_safe_GE__CTNNB1	34	31	68	76
CTNNB1_3__0Safe_safe_MP_204550.1197	0Safe_safe_MP__CTNNB1	47	45	96	126
CTNNB1_3__0Safe_safe_MP_204550.1296	0Safe_safe_MP__CTNNB1	30	23	58	63
CTNNB1_3__0Safe_safe_MP_204550.1323	0Safe_safe_MP__CTNNB1	135	126	245	298
CTNNB1_3__0Safe_safe_U3_204550.6027	0Safe_safe_U3__CTNNB1	18	37	66	62
CTNNB1_3__CDK2_1	CDK2__CTNNB1	129	153	181	214
CTNNB1_3__CDK2_2	CDK2__CTNNB1	89	108	155	192
CTNNB1_3__CDK2_3	CDK2__CTNNB1	112	86	172	201
CTNNB1_3__CDK2_4	CDK2__CTNNB1	237	182	306	445
CTNNB1_3__CTNNB1_1	CTNNB1__CTNNB1	77	82	137	174
CTNNB1_3__CTNNB1_2	CTNNB1__CTNNB1	61	63	142	168
CTNNB1_3__CTNNB1_3	CTNNB1__CTNNB1	71	61	139	181
CTNNB1_3__CTNNB1_4	CTNNB1__CTNNB1	104	104	198	259
CTNNB1_3__ETF1_1	CTNNB1__ETF1	86	85	50	62
CTNNB1_3__ETF1_2	CTNNB1__ETF1	111	106	94	111
CTNNB1_3__ETF1_3	CTNNB1__ETF1	34	43	61	68
CTNNB1_3__ETF1_4	CTNNB1__ETF1	92	75	197	256
CTNNB1_3__EZH2_1	CTNNB1__EZH2	66	66	136	181
CTNNB1_3__EZH2_2	CTNNB1__EZH2	134	101	217	246
CTNNB1_3__EZH2_3	CTNNB1__EZH2	119	102	209	236
CTNNB1_3__EZH2_4	CTNNB1__EZH2	92	94	176	238
CTNNB1_3__HSP90B1_1	CTNNB1__HSP90B1	126	121	203	254
CTNNB1_3__HSP90B1_2	CTNNB1__HSP90B1	119	143	202	207
CTNNB1_3__HSP90B1_3	CTNNB1__HSP90B1	59	63	113	132
CTNNB1_3__HSP90B1_4	CTNNB1__HSP90B1	35	35	83	74
CTNNB1_3__IGF1R_1	CTNNB1__IGF1R	83	94	140	154
CTNNB1_3__IGF1R_2	CTNNB1__IGF1R	110	106	161	254
CTNNB1_3__IGF1R_3	CTNNB1__IGF1R	269	317	358	428
CTNNB1_3__IGF1R_4	CTNNB1__IGF1R	42	28	61	73
CTNNB1_3__MAPK13_1	CTNNB1__MAPK13	293	256	564	568
CTNNB1_3__MAPK13_2	CTNNB1__MAPK13	85	105	183	217
CTNNB1_3__MAPK13_3	CTNNB1__MAPK13	168	169	333	400
CTNNB1_3__MAPK13_4	CTNNB1__MAPK13	82	83	158	177
CTNNB1_3__TRIB2_1	CTNNB1__TRIB2	87	103	175	233
CTNNB1_3__TRIB2_2	CTNNB1__TRIB2	64	64	145	148
CTNNB1_3__TRIB2_3	CTNNB1__TRIB2	171	160	305	388
CTNNB1_3__TRIB2_4	CTNNB1__TRIB2	103	105	187	233
CTNNB1_3__ULK1_1	CTNNB1__ULK1	56	50	76	111
CTNNB1_3__ULK1_2	CTNNB1__ULK1	87	101	153	177
CTNNB1_3__ULK1_3	CTNNB1__ULK1	62	59	101	112
CTNNB1_3__ULK1_4	CTNNB1__ULK1	136	120	233	278
CTNNB1_3__WNT5A_1	CTNNB1__WNT5A	164	124	218	314
CTNNB1_3__WNT5A_2	CTNNB1__WNT5A	151	142	237	288
CTNNB1_3__WNT5A_3	CTNNB1__WNT5A	77	81	180	215
CTNNB1_3__WNT5A_4	CTNNB1__WNT5A	135	103	224	284
CTNNB1_4__0Safe_safe_ACOC_204550.4522	0Safe_safe_ACOC__CTNNB1	37	28	51	63
CTNNB1_4__0Safe_safe_ACOC_204550.4525	0Safe_safe_ACOC__CTNNB1	91	87	146	151
CTNNB1_4__0Safe_safe_ACOC_204550.4590	0Safe_safe_ACOC__CTNNB1	118	120	187	224
CTNNB1_4__0Safe_safe_GE_204550.1561	0Safe_safe_GE__CTNNB1	38	66	92	101
CTNNB1_4__0Safe_safe_GE_204550.1743	0Safe_safe_GE__CTNNB1	42	52	68	97
CTNNB1_4__0Safe_safe_GE_204550.1816	0Safe_safe_GE__CTNNB1	27	27	51	48
CTNNB1_4__0Safe_safe_MP_204550.1197	0Safe_safe_MP__CTNNB1	26	33	56	54
CTNNB1_4__0Safe_safe_MP_204550.1296	0Safe_safe_MP__CTNNB1	22	29	35	52
CTNNB1_4__0Safe_safe_MP_204550.1323	0Safe_safe_MP__CTNNB1	90	101	161	181
CTNNB1_4__0Safe_safe_U3_204550.6027	0Safe_safe_U3__CTNNB1	15	13	37	39
CTNNB1_4__CDK2_1	CDK2__CTNNB1	96	115	116	132
CTNNB1_4__CDK2_2	CDK2__CTNNB1	96	81	88	110
CTNNB1_4__CDK2_3	CDK2__CTNNB1	77	83	110	125
CTNNB1_4__CDK2_4	CDK2__CTNNB1	159	126	235	259
CTNNB1_4__CTNNB1_1	CTNNB1__CTNNB1	42	58	92	95
CTNNB1_4__CTNNB1_2	CTNNB1__CTNNB1	49	51	97	109
CTNNB1_4__CTNNB1_3	CTNNB1__CTNNB1	48	48	106	115
CTNNB1_4__CTNNB1_4	CTNNB1__CTNNB1	85	82	129	171
CTNNB1_4__ETF1_1	CTNNB1__ETF1	62	68	38	52
CTNNB1_4__ETF1_2	CTNNB1__ETF1	88	97	69	82
CTNNB1_4__ETF1_3	CTNNB1__ETF1	32	33	54	48
CTNNB1_4__ETF1_4	CTNNB1__ETF1	55	68	137	165
CTNNB1_4__EZH2_1	CTNNB1__EZH2	52	51	78	84
CTNNB1_4__EZH2_2	CTNNB1__EZH2	75	89	147	159
CTNNB1_4__EZH2_3	CTNNB1__EZH2	93	91	160	183
CTNNB1_4__EZH2_4	CTNNB1__EZH2	68	66	115	144
CTNNB1_4__HSP90B1_1	CTNNB1__HSP90B1	68	89	132	152
CTNNB1_4__HSP90B1_2	CTNNB1__HSP90B1	102	118	115	172
