construct_id	T0_1	T0_2	Tend_1	Tend_2
0Safe_safe_GE_204550.1561__CTNNB1_1	74	70	154	157
0Safe_safe_GE_204550.1561__CTNNB1_2	80	77	112	173
0Safe_safe_GE_204550.1561__CTNNB1_3	97	86	159	215
0Safe_safe_GE_204550.1561__CTNNB1_4	140	118	230	317
0Safe_safe_GE_204550.1561__ETF1_1	85	95	49	66
0Safe_safe_GE_204550.1561__ETF1_2	100	160	83	115
0Safe_safe_GE_204550.1561__ETF1_3	50	44	52	85
0Safe_safe_GE_204550.1561__ETF1_4	78	82	156	213
0Safe_safe_GE_204550.1561__EZH2_1	90	103	138	151
0Safe_safe_GE_204550.1561__EZH2_2	122	110	221	232
0Safe_safe_GE_204550.1561__EZH2_3	148	149	223	275
0Safe_safe_GE_204550.1561__EZH2_4	75	98	139	185
0Safe_safe_GE_204550.1561__HSP90B1_1	177	170	201	253
0Safe_safe_GE_204550.1561__HSP90B1_2	154	144	193	215
0Safe_safe_GE_204550.1561__HSP90B1_3	75	72	108	128
0Safe_safe_GE_204550.1561__HSP90B1_4	40	41	60	96
0Safe_safe_GE_204550.1561__IGF1R_1	125	126	155	214
0Safe_safe_GE_204550.1561__IGF1R_2	113	139	202	275
0Safe_safe_GE_204550.1561__IGF1R_3	326	328	379	533
0Safe_safe_GE_204550.1561__IGF1R_4	46	42	56	64
0Safe_safe_GE_204550.1561__MAPK13_1	363	379	581	685
0Safe_safe_GE_204550.1561__MAPK13_2	117	110	163	168
0Safe_safe_GE_204550.1561__MAPK13_3	189	199	388	426
0Safe_safe_GE_204550.1561__MAPK13_4	86	91	132	190
0Safe_safe_GE_204550.1561__TRIB2_1	100	111	181	215
0Safe_safe_GE_204550.1561__TRIB2_2	82	68	124	140
0Safe_safe_GE_204550.1561__TRIB2_3	166	173	307	397
0Safe_safe_GE_204550.1561__TRIB2_4	106	113	196	244
0Safe_safe_GE_204550.1561__ULK1_1	68	70	107	105
0Safe_safe_GE_204550.1561__ULK1_2	105	108	144	191
0Safe_safe_GE_204550.1561__ULK1_3	65	71	89	114
0Safe_safe_GE_204550.1561__ULK1_4	157	142	269	269
0Safe_safe_GE_204550.1561__WNT5A_1	169	185	247	299
0Safe_safe_GE_204550.1561__WNT5A_2	153	158	265	324
0Safe_safe_GE_204550.1561__WNT5A_3	111	100	144	246
0Safe_safe_GE_204550.1561__WNT5A_4	127	120	181	273
0Safe_safe_GE_204550.1743__0Safe_safe_ACOC_204550.4522	27	21	44	58
0Safe_safe_GE_204550.1743__0Safe_safe_ACOC_204550.4525	50	63	91	107
0Safe_safe_GE_204550.1743__0Safe_safe_ACOC_204550.4590	91	81	148	184
0Safe_safe_GE_204550.1743__0Safe_safe_GE_204550.1561	32	37	57	82
0Safe_safe_GE_204550.1743__0Safe_safe_GE_204550.1743	39	28	73	88
0Safe_safe_GE_204550.1743__0Safe_safe_GE_204550.1816	23	26	39	68
0Safe_safe_GE_204550.1743__0Safe_safe_MP_204550.1197	35	26	63	69
0Safe_safe_GE_204550.1743__0Safe_safe_MP_204550.1296	21	17	21	33
0Safe_safe_GE_204550.1743__0Safe_safe_MP_204550.1323	49	56	134	121
0Safe_safe_GE_204550.1743__0Safe_safe_U3_204550.6027	11	14	18	31
0Safe_safe_GE_204550.1743__CDK2_1	75	83	84	92
0Safe_safe_GE_204550.1743__CDK2_2	57	63	82	78
0Safe_safe_GE_204550.1743__CDK2_3	65	51	66	95
0Safe_safe_GE_204550.1743__CDK2_4	107	104	151	202
0Safe_safe_GE_204550.1743__CTNNB1_1	23	39	86	70
0Safe_safe_GE_204550.1743__CTNNB1_2	28	43	61	74
0Safe_safe_GE_204550.1743__CTNNB1_3	48	43	68	77
0Safe_safe_GE_204550.1743__CTNNB1_4	52	57	123	131
0Safe_safe_GE_204550.1743__ETF1_1	60	40	31	32
0Safe_safe_GE_204550.1743__ETF1_2	55	67	45	55
0Safe_safe_GE_204550.1743__ETF1_3	22	15	33	35
0Safe_safe_GE_204550.1743__ETF1_4	49	46	70	112
0Safe_safe_GE_204550.1743__EZH2_1	44	43	78	91
0Safe_safe_GE_204550.1743__EZH2_2	64	58	138	138
0Safe_safe_GE_204550.1743__EZH2_3	67	70	116	145
0Safe_safe_GE_204550.1743__EZH2_4	37	50	90	105
0Safe_safe_GE_204550.1743__HSP90B1_1	50	61	124	110
0Safe_safe_GE_204550.1743__HSP90B1_2	82	74	76	112
0Safe_safe_GE_204550.1743__HSP90B1_3	48	50	60	71
0Safe_safe_GE_204550.1743__HSP90B1_4	20	24	37	35
0Safe_safe_GE_204550.1743__IGF1R_1	58	78	109	89
0Safe_safe_GE_204550.1743__IGF1R_2	55	56	81	114
0Safe_safe_GE_204550.1743__IGF1R_3	176	169	210	202
0Safe_safe_GE_204550.1743__IGF1R_4	30	20	25	50
0Safe_safe_GE_204550.1743__MAPK13_1	183	182	293	353
0Safe_safe_GE_204550.1743__MAPK13_2	56	63	104	126
0Safe_safe_GE_204550.1743__MAPK13_3	88	99	160	208
